Os01g0133832	Os01t0133832-00
Os01g0133866	Os01t0133866-00
Os01g0133900	Os01t0133900-00
Os01g0134200	Os01t0134200-02
Os01g0134850	Os01t0134850-00
Os01g0134900	Os01t0134900-01
Os01g0138000	Os01t0138000-00
Os01g0138050	Os01t0138050-00
Os01g0135600	Os01t0135600-01
Os01g0136000	Os01t0136000-00
Os01g0136050	Os01t0136050-00
Os01g0136100	Os01t0136100-01
Os01g0136450	Os01t0136450-00
Os01g0136500	Os01t0136500-00
Os01g0136501	Os01t0136501-00
Os01g0136502	Os01t0136502-00
Os01g0136700	Os01t0136700-01
Os01g0136850	Os01t0136850-00
Os01g0136900	Os01t0136900-00
Os01g0137066	Os01t0137066-00
Os01g0137125	Os01t0137125-00
Os01g0137150	Os01t0137150-01
Os01g0137232	Os01t0137232-00
Os01g0137250	Os01t0137250-00
Os01g0137266	Os01t0137266-00
Os01g0137282	Os01t0137282-00
Os01g0137300	Os01t0137300-01
Os01g0137400	Os01t0137400-00
Os01g0137401	Os01t0137401-00
Os01g0137550	Os01t0137550-01
Os01g0137600	Os01t0137600-00
Os01g0137750	Os01t0137750-00
Os01g0137875	Os01t0137875-00
Os01g0138166	Os01t0138166-00
Os01g0138232	Os01t0138232-00
Os01g0138350	Os01t0138350-00
Os01g0138451	Os01t0138451-00
Os01g0139000	Os01t0139000-00
Os01g0139100	Os01t0139100-00
Os01g0139700	Os01t0139700-01
Os01g0140001	Os01t0140001-00
Os01g0140601	Os01t0140601-00
Os01g0140700	Os01t0140700-00
Os01g0141150	Os01t0141150-00
Os01g0141200	Os01t0141200-00
Os01g0141300	Os01t0141300-00
Os01g0141450	Os01t0141450-00
Os01g0142400	Os01t0142400-00
Os01g0142600	Os01t0142600-01
Os01g0175800	Os01t0175800-00
Os01g0142875	Os01t0142875-00
Os01g0142950	Os01t0142950-01
Os01g0143200	Os01t0143200-00
Os01g0143350	Os01t0143350-00
Os01g0143501	Os01t0143501-00
Os01g0143600	Os01t0143600-00
Os01g0143650	Os01t0143650-00
Os01g0143750	Os01t0143750-00
Os01g0144340	Os01t0144340-00
